Symmetrical,,,,,
m,k,n,workload_size,avg_time,avg_gflops
16,16,16,4096,3023,91.01
32,32,32,32768,2887,94.24912
64,64,64,262144,2795.4,96.60598
,,,,,
"m halved, n doubled",,,,,
m,k,n,workload_size,avg_time,avg_gflops
8,16,32,4096,3380.4,80.0217
16,32,64,32768,2903.8,94.0619
32,64,128,262144,2806.6,97.32906
,,,,,
"k halved, n doubled",,,,,
m,k,n,workload_size,avg_time,avg_gflops
16,8,32,4096,3067.2,91.1977
32,16,64,32768,2455.8,111.98648
64,32,128,262144,2428.6,110.724
,,,,,
"m, k halved",,,,,
m,k,n,workload_size,avg_time,avg_gflops
8,8,16,1024,3915.8,69.16298
16,16,32,8192,3087.4,87.93798
32,32,64,65536,3314.4,82.6606
,,,,,
m halved,,,,,
m,k,n,workload_size,avg_time,avg_gflops
8,16,16,2048,3336,80.92412
16,32,32,16384,2751.8,98.96312
32,64,64,131072,3172.8,86.64592
,,,,,
k halved,,,,,
m,k,n,workload_size,avg_time,avg_gflops
16,8,16,2048,3202.6,83.9762
32,16,32,16384,3037.8,88.9131
64,32,64,131072,2694.6,101.2761
