dtype_in,dtype_out,m,k,n,r,s,t,Workload Size,Runtime,Workload Size,GOPS
i8,i16,16,8,16,2,8,8,2048,3709.6,2048,73.81206
i8,i16,16,8,32,2,8,8,4096,2717.2,4096,100.61766
i8,i16,16,8,64,2,8,8,8192,2955.4,8192,91.58752
i8,i16,16,8,128,2,8,8,16384,2798.2,16384,99.58118
i8,i16,16,8,16,4,8,8,2048,3608.4,2048,75.76326
i8,i16,16,8,32,4,8,8,4096,3064.2,4096,90.80362
i8,i16,16,8,64,4,8,8,8192,2586.8,8192,106.57246
i8,i16,16,8,128,4,8,8,16384,2627.2,16384,103.65038
i8,i16,16,8,16,8,8,8,2048,3488,2048,78.24234
i8,i16,16,8,32,8,8,8,4096,2935.8,4096,93.97314
i8,i16,16,8,64,8,8,8,8192,2514,8192,109.8143
i8,i16,16,8,128,8,8,8,16384,2549.2,16384,109.3358
,,,,,,,,,,,
,,,,,,,,,,,
dtype_in,dtype_out,m,k,n,r,s,t,Workload Size,Runtime,Workload Size,GOPS
i16,i32,16,8,16,2,4,8,2048,3080.6,2048,87.70884
i16,i32,16,8,32,2,4,8,4096,3151.6,4096,85.4039
i16,i32,16,8,64,2,4,8,8192,3113,8192,87.89492
i16,i32,16,8,128,2,4,8,16384,2936.4,16384,93.02686
i16,i32,16,8,16,4,4,8,2048,3472,2048,78.67676
i16,i32,16,8,32,4,4,8,4096,3189.2,4096,84.54354
i16,i32,16,8,64,4,4,8,8192,3124,8192,87.64162
i16,i32,16,8,128,4,4,8,16384,2740.6,16384,102.11744
i16,i32,16,8,16,4,2,8,2048,3535.2,2048,76.50096
i16,i32,16,8,32,4,2,8,4096,2888,4096,93.323
i16,i32,16,8,64,4,2,8,8192,2920.4,8192,94.65558
i16,i32,16,8,128,4,2,8,16384,2610,16384,104.95622
,,,,,,,,,,,
,,,,,,,,,,,
dtype_in,dtype_out,m,k,n,r,s,t,Workload Size,Runtime,Workload Size,GOPS
bf16,f32,16,8,16,4,8,4,2048,4113,2048,65.46646
bf16,f32,16,8,32,4,8,4,4096,3507.4,4096,76.72978
bf16,f32,16,8,64,4,8,4,8192,3770.8,8192,73.1828
bf16,f32,16,8,128,4,8,4,16384,3350,16384,81.19218
bf16,f32,16,8,16,8,8,4,2048,3813.2,2048,71.5546
bf16,f32,16,8,32,8,8,4,4096,3032.6,4096,89.84732
bf16,f32,16,8,64,8,8,4,8192,2984.8,8192,90.38994
bf16,f32,16,8,128,8,8,4,16384,3051.4,16384,88.68958
bf16,f32,16,8,16,8,8,8,2048,3654,2048,74.25712
bf16,f32,16,8,32,8,8,8,4096,3362,4096,80.802
bf16,f32,16,8,64,8,8,8,8192,3347.4,8192,81.004
bf16,f32,16,8,128,8,8,8,16384,3145.4,16384,86.382
